tweet_id,rating_denominator,dog_name,dog_stage,rating_numerator,jpg_url,img_num,prediction1,prediction1_confidence,predict1_is_dog,prediction2,prediction2_confidence,predict2_is_dog,prediction3,prediction3_confidence,predict3_is_dog,is_dog
808106460588765185,10,,Doggo,12.0,https://pbs.twimg.com/media/Czb4iFRXgAIUMiN.jpg,1,Golden Retriever,0.426,True,Labrador Retriever,0.257,True,Great Pyrenees,0.126,True,True
808106460588765185,10,,Pupper,12.0,https://pbs.twimg.com/media/Czb4iFRXgAIUMiN.jpg,1,Golden Retriever,0.426,True,Labrador Retriever,0.257,True,Great Pyrenees,0.126,True,True
802265048156610565,10,,Doggo,11.0,https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg,1,Labrador Retriever,0.897,True,Beagle,0.017,True,Rhodesian Ridgeback,0.012,True,True
802265048156610565,10,,Pupper,11.0,https://pbs.twimg.com/media/CyI3zXgWEAACQfB.jpg,1,Labrador Retriever,0.897,True,Beagle,0.017,True,Rhodesian Ridgeback,0.012,True,True
759793422261743616,10,Maggie,Doggo,12.0,https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,2,Golden Retriever,0.986,True,Labrador Retriever,0.002,True,Kuvasz,0.002,True,True
759793422261743616,10,Maggie,Pupper,12.0,https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,2,Golden Retriever,0.986,True,Labrador Retriever,0.002,True,Kuvasz,0.002,True,True
741067306818797568,10,,Doggo,12.0,https://pbs.twimg.com/media/CkjMx99UoAM2B1a.jpg,1,Golden Retriever,0.8440000000000001,True,Labrador Retriever,0.053,True,Kelpie,0.036000000000000004,True,True
741067306818797568,10,,Pupper,12.0,https://pbs.twimg.com/media/CkjMx99UoAM2B1a.jpg,1,Golden Retriever,0.8440000000000001,True,Labrador Retriever,0.053,True,Kelpie,0.036000000000000004,True,True
733109485275860992,10,,Doggo,12.0,https://pbs.twimg.com/media/CiyHLocU4AI2pJu.jpg,1,Golden Retriever,0.946,True,Labrador Retriever,0.042,True,Doormat,0.004,False,True
733109485275860992,10,,Pupper,12.0,https://pbs.twimg.com/media/CiyHLocU4AI2pJu.jpg,1,Golden Retriever,0.946,True,Labrador Retriever,0.042,True,Doormat,0.004,False,True
892420643555336193,10,Phineas,No Entry,13.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.097,False,Bagel,0.086,False,Banana,0.076,False,True
892177421306343426,10,Tilly,No Entry,13.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.324,True,Pekinese,0.091,True,Papillon,0.069,True,True
891815181378084864,10,Archie,No Entry,12.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716,True,Malamute,0.078,True,Kelpie,0.031,True,True
891689557279858688,10,Darla,No Entry,13.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17,False,Labrador Retriever,0.168,True,Spatula,0.041,False,True
891327558926688256,10,Franklin,No Entry,12.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.556,True,English Springer,0.226,True,German Short-Haired Pointer,0.175,True,True
891087950875897856,10,,No Entry,13.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.426,True,Irish Terrier,0.116,True,Indian Elephant,0.077,False,True
890971913173991426,10,Jax,No Entry,13.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.342,True,Border Collie,0.199,True,Ice Lolly,0.194,False,True
890729181411237888,10,,No Entry,13.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.5660000000000001,True,Eskimo Dog,0.17800000000000002,True,Pembroke,0.077,True,True
890609185150312448,10,Zoey,No Entry,13.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.488,True,Irish Setter,0.193,True,Chesapeake Bay Retriever,0.118,True,True
890240255349198849,10,Cassie,Doggo,14.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511,True,Cardigan,0.451,True,Chihuahua,0.029,True,True
890006608113172480,10,Koda,No Entry,13.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.958,True,Pomeranian,0.014,True,Chow,0.008,True,True
889880896479866881,10,Bruno,No Entry,13.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French Bulldog,0.377,True,Labrador Retriever,0.151,True,Muzzle,0.083,False,True
889665388333682689,10,,Puppo,13.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966,True,Cardigan,0.027000000000000003,True,Basenji,0.005,True,True
889638837579907072,10,Ted,No Entry,12.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.992,True,Boxer,0.002,True,Staffordshire Bullterrier,0.001,True,True
889531135344209921,10,Stuart,Puppo,13.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,Golden Retriever,0.953,True,Labrador Retriever,0.014,True,Redbone,0.008,True,True
889278841981685760,10,Oliver,No Entry,13.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626,True,Borzoi,0.195,True,Saluki,0.027000000000000003,True,True
888917238123831296,10,Jim,No Entry,12.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.715,True,Tibetan Mastiff,0.12,True,Labrador Retriever,0.106,True,True
888804989199671297,10,Zeke,No Entry,13.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,Golden Retriever,0.47,True,Labrador Retriever,0.184,True,English Setter,0.073,True,True
888554962724278272,10,Ralphus,No Entry,13.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.7,True,Eskimo Dog,0.16699999999999998,True,Malamute,0.111,True,True
888078434458587136,10,Gerald,No Entry,12.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French Bulldog,0.995,True,Pug,0.001,True,Bull Mastiff,0.001,True,True
887705289381826560,10,Jeffrey,No Entry,13.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.8220000000000001,True,Redbone,0.08800000000000001,True,Weimaraner,0.026,True,True
887517139158093824,10,,No Entry,14.0,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.13,False,Tow Truck,0.029,False,Shopping Cart,0.026,False,True
887473957103951883,10,Canela,No Entry,13.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,Pembroke,0.809,True,Rhodesian Ridgeback,0.055,True,Beagle,0.039,True,True
887343217045368832,10,,No Entry,13.0,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican Hairless,0.331,True,Sea Lion,0.276,False,Weimaraner,0.134,True,True
886983233522544640,10,Maya,No Entry,13.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,Chihuahua,0.7929999999999999,True,Toy Terrier,0.14400000000000002,True,Can Opener,0.032,False,True
886736880519319552,10,Mingus,No Entry,13.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,Kuvasz,0.31,True,Great Pyrenees,0.18600000000000005,True,Dandie Dinmont,0.086,True,True
886680336477933568,10,Derek,No Entry,13.0,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,Convertible,0.7390000000000001,False,Sports Car,0.14,False,Car Wheel,0.044,False,True
886366144734445568,10,Roscoe,Pupper,12.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,French Bulldog,0.999,True,Chihuahua,0.0,True,Boston Bull,0.0,True,True
886258384151887873,10,Waffles,No Entry,13.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1,Pug,0.944,True,Shower Cap,0.025,False,Siamese Cat,0.003,False,True
